Galaxy,Final Model,Mag Disk1,Mag Bulge1,Mag Nucleus1,Disk-to-total light1,Bulge-to-total light1,Bar-to-total light1,Nucleus-to-total light1,Flux Model1,Flux Disk1,Flux Bulge1,Flux Bar1,Flux Nucleus1,Mag Disk2,Mag Bulge2,Mag Nucleus2,Disk-to-total light2,Bulge-to-total light2,Bar-to-total light2,Nucleus-to-total light2,Flux Model2,Flux Disk2,Flux Bulge2,Flux Bar2,Flux Nucleus2,Mag Final Model1,Mag Final Model2,Bar-to-total Mass,Disk-to-total Mass,Bulge-to-total Mass,Nucleus-to-total Mass,Mass Bar,Mass Disk,Mass Bulge,Mass Nucleus,Sum comp Mass,sersic n1,sersic n2
ESO012-010,DBAR,13.6423,,,0.93455017,,0.0654498,,0.0135667986954585,0.0126788539746939,,0.0008879442153619,,14.2673,,,0.91911876,,0.08088103,,0.0077572603679456,0.0071298435460242,,0.0006274152036307,,13.568806547563488,14.175729078671871,0.0545328474154788,0.9454671525845212,,,8.457014338298016,9.6960026086556,,,9.720356163469347,,
ESO013-016,DBAR,12.8461,,,0.95440286,,0.04559713,,0.0276584772467934,0.0263973298976471,,0.0012611471430746,,13.3098,,,0.9530485,,0.046951424,,0.0180702843023136,0.0172218578411417,,0.0008484255860502,,12.79542933474603,13.257587536423523,0.044475299500178,0.955524700499822,,,8.320550635241142,9.652673672035183,,,9.672431753902003,,
ESO026-001,DBARN,13.1347,,19.4078,0.912594,,0.084304646,0.003101386,0.0221739151430646,0.0202357823676787,,0.0018693640589764,6.264407487810149e-05,13.6089,,19.9557,0.9085959,,0.08852009,0.0028840275,0.0143902791233065,0.0130749488934719,,0.0012738287642913,3.781986724024263e-05,13.035394046993792,13.504826955301615,0.0808886276949128,0.9161069279324808,,0.0030044443726062,8.32989175747549,9.383950457407096,,6.899768457407096,9.42200428996108,,
ESO027-001,DBARB,11.559,14.0715,,0.8378438,0.08425075,0.07790551,,0.103094845546449,0.0863773746529181,0.0085388621021483,0.0080316568656428,,11.9851,14.3257,,0.8314422,0.097913496,0.07064437,,0.0701661986123783,0.0583391369468372,0.0067564722907247,0.0049568469812747,,11.366907619203772,11.784680128914095,0.0845890199299261,0.8426033057583752,0.0728076743116986,,8.957867013954735,9.956176179460858,8.892730179460855,,10.030553020813151,2.0345,2.4548
ESO048-017,DBARN,14.5823,,20.2719,0.8516374,,0.14350845,0.0048541618,0.0062636179907639,0.0053343314845516,,0.0008988821042158,2.8264414927040032e-05,15.2512,,20.5156,0.8081765,,0.18501349,0.0068100505,0.0035646243762781,0.0028808457145682,,0.0006595035890335,2.2581875048116777e-05,14.407936842877476,15.019965568390298,0.1145574625024134,0.8820920660916752,,0.0033504714059113,8.35765950134756,9.244150031956323,,6.823742031956322,9.29863611608878,,
ESO079-007,DBAR,13.4354,,,0.9626993,,0.037300743,,0.0159349001558348,0.0153405171314211,,0.0005943836180349,,13.887,,,0.96356314,,0.03643684,,0.0105031560949691,0.0101204541109653,,0.0003827018274945,,13.39412663341033,13.846700450260462,0.038050507361009,0.961949492638991,,,8.089393263626999,9.492185081563086,,,9.50903281165004,,
ESO238-018,DBAR,14.344,,,0.9561828,,0.043817222,,0.0069479883694187,0.00664354681976,,0.0003044415496587,,14.87,,,0.9478924,,0.052107498,,0.0043175854968415,0.0040926065973,,0.0002249785778562,,14.295352293028335,14.811897634436662,0.0377745338609611,0.9622254661390388,,,8.136154710784348,9.542232443651146,,,9.55895559694897,,
ESO287-037,DBAR,13.41,,,0.9473598,,0.052640043,,0.0165762026610379,0.0157036280433354,,0.0008725720241534,,13.8743,,,0.94959426,,0.05040578,,0.0107830574625713,0.0102395294637509,,0.0005435284406906,,13.351287380520002,13.818145201107036,0.05461240989331,0.94538759010669,,,8.543695641631055,9.782014197585552,,,9.806404300468625,,
ESO340-017,DBAR,13.6273,,,0.8216249,,0.17837508,,0.0156461114957852,0.0128552344030349,,0.0027908763933146,,14.11,,,0.81191134,,0.1880887,,0.0101505924331172,0.0082413811501299,,0.0019092117367541,,13.41398394813056,13.88377152419828,0.1704310180041946,0.8295689819958054,,,9.024030221602391,9.71133408870055,,,9.792481583506524,,
ESO341-032,DBAR,13.5415,,,0.9636922,,0.036307804,,0.0144364915641426,0.013912334146288,,0.0005241573102943,,14.0041,,,0.96277773,,0.0372223,,0.009437000155959,0.0090857336240508,,0.0003512668483082,,13.501345846463437,13.962915094435408,0.0355475187948811,0.9644524812051188,,,8.348908095140406,9.782379637347033,,,9.79809880262871,,
