Galaxy,Final Model,Sum comp Mass,Mass Bar,Mass Disk,Mass Bulge,Mass Nucleus,Bar-to-total Mass,Disk-to-total Mass,Bulge-to-total Mass,Nucleus-to-total Mass
ESO012-010,DBAR,9.720356163469347,8.457014338298016,9.6960026086556,,,0.0545328474154788,0.9454671525845212,,
ESO013-016,DBAR,9.672431753902003,8.320550635241142,9.652673672035183,,,0.044475299500178,0.955524700499822,,
ESO026-001,DBARN,9.42200428996108,8.32989175747549,9.383950457407096,,6.899768457407096,0.0808886276949128,0.9161069279324808,,0.0030044443726062
ESO027-001,DBARB,10.030553020813151,8.957867013954735,9.956176179460858,8.892730179460855,,0.0845890199299261,0.8426033057583752,0.0728076743116986,
ESO048-017,DBARN,9.29863611608878,8.35765950134756,9.244150031956323,,6.823742031956322,0.1145574625024134,0.8820920660916752,,0.0033504714059113
ESO079-007,DBAR,9.50903281165004,8.089393263626999,9.492185081563086,,,0.038050507361009,0.961949492638991,,
ESO238-018,DBAR,9.55895559694897,8.136154710784348,9.542232443651146,,,0.0377745338609611,0.9622254661390388,,
ESO287-037,DBAR,9.806404300468625,8.543695641631055,9.782014197585552,,,0.05461240989331,0.94538759010669,,
ESO340-017,DBAR,9.792481583506524,9.024030221602391,9.71133408870055,,,0.1704310180041946,0.8295689819958054,,
ESO341-032,DBAR,9.79809880262871,8.348908095140406,9.782379637347033,,,0.0355475187948811,0.9644524812051188,,
ESO357-012,DBAR,9.382035846169387,8.088994865576296,9.3593348782948,,,0.0509282812200154,0.9490717187799844,,
ESO408-012,DBARN,9.692524635499373,8.118648865511453,9.67966886237654,,7.088978862376539,0.0266762162902415,0.9708323219437188,,0.0024914617660396
ESO418-009,DBAR,9.212842357943336,7.9730459559266835,9.18709101020661,,,0.0575709767790878,0.9424290232209122,,
ESO440-011,DBAR,10.094293831680668,8.586886684682675,10.080578164130436,,,0.0310880049926334,0.9689119950073664,,
ESO445-089,DBARN,10.139225286946091,9.0254285037351,10.103021250072224,,7.621201250072221,0.0769490419054312,0.9200172348223438,,0.003033723272225
