Galaxy,Model,Total Model Mass,Bar Mass,Disk Mass,Bulge Mass,Nucleus Mass,Bar-to-total,Disk-to-total,Bulge-to-total,Nucleus-to-total
ESO012-010,DBAR,9.528042419849891,8.264700584998165,9.50368886559449,,,0.054532846199945674,0.9454671538000544,,
ESO013-016,DBAR,9.508865837893802,8.156984711003982,9.48910775641,,,0.04447529865746551,0.9555247013425345,,
ESO026-001,DBARN,9.355583057216547,8.263342456565159,9.317401175569147,,6.873881465611422,0.08086477813809134,0.9158368591782052,,0.003298362683703398
ESO027-001,DBARB,9.977205620974965,8.903965683614475,9.902274860307065,8.84637575292826,,0.08448119777032889,0.841529295506933,0.07398950672273798,
ESO048-017,DBARN,8.923898199237613,7.982810482075391,8.869301047636686,,6.480843640002385,0.11452815984237397,0.8818665066841048,,0.003605333473521195
ESO079-007,DBAR,9.40405692355605,7.984417317156061,9.387209195778233,,,0.03805050224634037,0.9619494977536596,,
ESO238-018,DBAR,9.430740275685627,8.007939411345165,9.414017121531044,,,0.03777453575920623,0.9622254642407938,,
ESO287-037,DBAR,9.666470847464002,8.40376222323642,9.642080742581607,,,0.054612414245506474,0.9453875857544936,,
ESO340-017,DBAR,9.63740207504456,8.868950664740074,9.556254590182208,,,0.1704309990103513,0.8295690009896487,,
ESO341-032,DBAR,9.687097810185715,8.237907098090952,9.671378645073823,,,0.035547518417836925,0.9644524815821631,,
ESO357-012,DBAR,9.203057084815237,7.910016141926873,9.18035611491737,,,0.05092828564152457,0.9490717143584754,,
ESO408-012,DBARN,9.509690720101212,7.935753410712629,9.496773424443438,,6.930102110325683,0.026672436546020594,0.9706948027313536,,0.0026327607226260055
ESO418-009,DBAR,9.075025864327005,7.835229467056477,9.049274516300347,,,0.057570977408244045,0.942429022591756,,
ESO440-011,DBAR,9.965368480991309,8.457961310230578,9.951652814203515,,,0.031088003291630605,0.9689119967083695,,
ESO445-089,DBARN,10.024216901292776,8.910364340691965,9.987957075323811,,7.524148879242164,0.07693915980634704,0.919899057791369,,0.0031617824022838158
ESO482-035,DBAR,9.747370231250388,8.777592674040088,9.698121091850883,,,0.10720682709853512,0.892793172901465,,
ESO485-021,DBARN,9.021998939079937,7.896137228602674,8.986923052243672,,6.461171751040321,0.0748407773116246,0.9224102348914751,,0.0027489877969003574
ESO508-024,DBAR,10.087063195652442,8.816184394073918,10.063140395962346,,,0.05359462029801721,0.9464053797019828,,
ESO510-059,DBAR,9.693011205818177,8.71042174118918,9.64527541256617,,,0.10409036594642417,0.8959096340535758,,
ESO532-022,DBAR,9.218309116706534,8.264753546491114,9.167070650407279,,,0.11128699862455411,0.888713001375446,,
ESO576-032,DBARN,10.090439943008935,8.350277178109607,10.075776571773083,,8.266815973659133,0.018190189988477417,0.9667999711237157,,0.015009838887806774
ESO580-022,DBAR,9.586954854263867,7.9938185358072475,9.575728229342026,,,0.025519001741433164,0.9744809982585668,,
IC0749,DBARN,10.26509932256874,8.409295258919434,10.25843963431334,,7.37219708617167,0.013937854815427808,0.9847824758477316,,0.0012796693368405422
IC0758,DBAR,9.430429939362655,8.24947228631936,9.40081223784916,,,0.06592381727576747,0.9340761827242325,,
IC0769,DBARN,10.114731653508999,8.690688919697381,10.093224842221087,,8.14201619132535,0.037666673381759636,0.9516849221787944,,0.010648404439445931
IC0797,DBARN,9.315247444641091,8.276738793759979,9.272260802492466,,6.750572118464313,0.09151480299093005,0.9057604594781227,,0.0027247375309473734
IC0800,DBAR,10.460334604945595,9.477564559848807,10.412619787387035,,,0.10404709397210592,0.895952906027894,,
IC0863,DBARN,10.003544024194035,9.383739941239256,9.841164104009284,,8.860625165333657,0.23999153142580376,0.6880501277377863,,0.07195834083640998
IC1067,DBARBN,9.71447021275113,8.830507431990766,9.580775972908079,8.666845647558674,8.365036375994068,0.13062828323828643,0.7350311764855144,0.08961391167115235,0.044726628605046816
IC1438,DBARB,10.38893298177496,9.61753521862339,10.07994937798612,9.920149864131803,,0.169278669483125,0.490926410077106,0.339794920439769,
IC1870,DBAR,9.370483246951899,8.201183423066192,9.340030832821826,,,0.06771738456849162,0.9322826154315084,,
IC1933,DBAR,9.528765379519324,8.10791856969353,9.511965334489604,,,0.03794488056424941,0.9620551194357506,,
IC1954,DBAR,9.875155170719818,8.393499453363814,9.860587433383989,,,0.032987111060514177,0.9670128889394858,,
IC2035,DBARN,9.870060871472282,9.10264253237919,9.68814461155692,,9.104017082239261,0.1708368916496374,0.6577846582916418,,0.17137845005872065
IC2051,DBARB,10.529565709371917,9.126056357014537,10.483596711850742,9.314524350685211,,0.03949031951755802,0.8995617952174444,0.060947885264997566,
IC3021,DBARN,8.974781860404692,7.0319840511796,8.96619070428422,,6.887518334254949,0.011407807675141842,0.9804125093108542,,0.00817968301400405
IC3115,DBAR,9.333415150468626,7.760525039669859,9.321645440384044,,,0.02673682843009652,0.9732631715699035,,
IC3517,DBAR,8.44694071901765,7.27290167674211,8.4168305369785,,,0.06698243907284337,0.9330175609271566,,
IC3521,DBAR,9.294932512439042,8.672922784730108,9.176445110339504,,,0.2387757799219557,0.7612242200780442,,
IC4536,DBARN,9.911684348196033,8.680851698262025,9.884110374878578,,7.3504245254528495,0.05877157779875113,0.9384821715225613,,0.0027462506786875163
IC5007,DBAR,10.079395795918105,9.155388474597142,10.024311464529205,,,0.11912219262811496,0.880877807371885,,
IC5240,DBARB,10.342184400759907,10.07220656437955,9.81785339463412,9.556875443139658,,0.5370592037463267,0.29899848918422023,0.16394230706945315,
IC5270,DBAR,9.972567722733944,8.61147393453198,9.953233725177215,,,0.0435417832736066,0.9564582167263934,,
IC5273,DBAR,9.979764589473515,8.53660257365493,9.96382161327608,,,0.03604441523684947,0.9639555847631505,,
NGC0210,DBARB,10.405195297531405,9.721706570549282,10.08011997054498,9.909901002653788,,0.2072579857011558,0.4730691995082511,0.31967281479059295,
NGC0289,DBARN,10.549548530638932,9.419209521149858,10.509021257702084,,8.726292841122726,0.07407318016577796,0.9109042472699697,,0.015022572564252294
NGC0337,DBAR,10.146253049296684,9.113988873728129,10.103936870750106,,,0.09284014806877353,0.9071598519312265,,
NGC0337A,DBAR,9.19349097993067,8.145972801060566,9.152706118995784,,,0.08963586650293316,0.9103641334970668,,
NGC0450,DBAR,9.639616966859082,8.421010119946127,9.612537066548896,,,0.060449561255437184,0.9395504387445628,,
