Name,y$_{3.6\mu m}$_center,x$_{3.6\mu m}$_center,SKY$_{3.6\mu m}$,$\sigma$_SKY$_{3.6\mu m}$,RMS$_{3.6\mu m}$,y$_{4.5\mu m}$_center,x$_{4.5\mu m}$_center,SKY$_{4.5\mu m}$,$\sigma$_SKY$_{4.5\mu m}$,RMS$_{4.5\mu m}$
ESO012-010,294.0,755.0,0.0011,0.0156,0.0125,771.0,293.0,-0.0114,0.0132,0.0106
ESO013-016,284.0,481.0,0.0068,0.0149,0.0119,787.0,321.0,-0.0347,0.0135,0.0108
ESO026-001,500.0,790.0,0.0234,0.0249,0.0253,298.0,290.0,0.0045,0.0137,0.011
ESO027-001,295.0,777.0,0.015,0.0164,0.0131,750.0,299.0,-0.0445,0.0136,0.0109
ESO048-017,549.0,778.0,0.0127,0.0148,0.0118,286.0,297.0,0.0337,0.0142,0.0117
ESO079-007,297.0,561.0,0.0137,0.0151,0.0121,767.0,289.0,-0.0229,0.0132,0.0106
ESO238-018,675.0,696.0,0.0047,0.0154,0.0123,735.0,609.0,0.0669,0.015,0.0121
ESO287-037,763.0,584.0,0.0489,0.0123,0.0099,291.0,294.0,0.123,0.0121,0.0098
ESO340-017,776.0,531.0,0.0463,0.0127,0.0104,283.0,282.0,0.087,0.0127,0.0102
ESO341-032,748.0,587.0,0.0356,0.0164,0.0134,778.0,442.0,0.0851,0.0158,0.0127
ESO357-012,290.0,300.0,0.0391,0.0128,0.0103,761.0,615.0,0.0999,0.0122,0.0098
ESO408-012,640.0,733.0,0.0258,0.0157,0.0126,768.0,515.0,0.0538,0.0154,0.0124
ESO418-009,292.0,598.0,0.0134,0.0044,0.0035,806.0,421.0,0.0192,0.0065,0.0052
ESO438-017,795.0,278.0,-0.01,0.013,0.0112,285.0,475.0,0.0214,0.0121,0.0097
ESO440-011,798.0,287.0,0.0476,0.0141,0.0113,288.0,551.0,0.0209,0.0133,0.0107
ESO445-089,792.0,523.0,0.0434,0.0164,0.0132,778.0,417.0,0.0805,0.0161,0.0129
ESO482-035,280.0,278.0,0.0346,0.0155,0.0124,770.0,509.0,0.0646,0.0141,0.0112
ESO485-021,262.0,278.0,0.0344,0.0143,0.0114,780.0,419.0,0.0715,0.0197,0.0177
ESO508-024,798.0,276.0,0.0729,0.0132,0.0107,279.0,480.0,0.0769,0.0127,0.0103
ESO510-059,791.0,503.0,0.035,0.0175,0.014,782.0,431.0,0.1193,0.0163,0.0131
ESO532-022,753.0,579.0,0.0394,0.0159,0.0127,778.0,438.0,0.0761,0.0152,0.0122
ESO576-032,796.0,276.0,0.0803,0.0129,0.0104,277.0,474.0,0.078,0.0126,0.0102
ESO580-022,797.0,269.0,0.0595,0.0119,0.0096,273.0,417.0,0.0964,0.0115,0.0093
ESO602-030,761.0,566.0,0.0579,0.0163,0.0131,775.0,478.0,0.1191,0.0157,0.0126
IC0749,411.0,842.0,0.0313,0.0094,0.0077,901.0,606.0,0.0847,0.0147,0.0123
IC0758,297.0,714.0,0.0084,0.015,0.012,790.0,300.0,-0.0073,0.0134,0.0109
IC0769,779.0,426.0,0.0581,0.0158,0.0127,791.0,510.0,0.0905,0.0159,0.0128
IC0797,881.0,373.0,0.0828,0.0116,0.0093,383.0,598.0,0.2119,0.0186,0.0149
IC0800,879.0,374.0,0.0804,0.0116,0.0092,382.0,600.0,0.2075,0.0185,0.0148
IC0863,794.0,280.0,0.0881,0.0127,0.0103,285.0,473.0,0.0962,0.0133,0.011
IC1067,988.0,321.0,0.0504,0.011,0.009,487.0,537.0,0.0901,0.0165,0.0138
IC1438,762.0,554.0,0.0667,0.0162,0.013,776.0,465.0,0.0985,0.0157,0.0126
IC1870,271.0,270.0,0.1088,0.0137,0.011,777.0,464.0,0.234,0.0144,0.0117
IC1933,296.0,299.0,0.0031,0.0143,0.0114,780.0,652.0,0.0156,0.0133,0.0107
IC1953,194.0,304.0,0.058,0.0181,0.0145,713.0,461.0,0.1354,0.0293,0.0235
IC1954,296.0,299.0,0.0036,0.0146,0.0116,780.0,661.0,0.0224,0.0132,0.0106
IC2035,296.0,298.0,0.0227,0.0142,0.0113,780.0,648.0,0.0526,0.0133,0.0106
IC2051,296.0,296.0,0.0116,0.015,0.012,778.0,656.0,-0.0284,0.013,0.0104
IC3021,771.0,499.0,0.0726,0.0164,0.0131,783.0,533.0,0.1127,0.0169,0.0136
IC3115,780.0,452.0,0.0635,0.0161,0.0129,791.0,510.0,0.1242,0.0159,0.0128
IC3517,787.0,286.0,0.0549,0.012,0.0097,294.0,520.0,0.1555,0.0125,0.0102
IC3521,777.0,485.0,0.0876,0.0163,0.013,786.0,512.0,0.1559,0.0171,0.0138
IC4237,791.0,281.0,0.1162,0.0174,0.0148,287.0,487.0,0.2189,0.0136,0.011
IC4536,796.0,266.0,0.1227,0.0132,0.0108,269.0,397.0,0.243,0.0131,0.0107
IC5007,781.0,456.0,0.0785,0.0173,0.0141,779.0,437.0,0.2305,0.0177,0.0144
IC5240,677.0,694.0,0.0245,0.0155,0.0125,745.0,583.0,0.072,0.0154,0.0124
IC5270,688.0,682.0,0.0267,0.0156,0.0127,778.0,446.0,0.0526,0.0147,0.012
IC5273,679.0,692.0,0.0217,0.0153,0.0122,778.0,443.0,0.046,0.0143,0.0115
NGC0210,722.0,284.0,0.0625,0.0168,0.0135,1224.0,494.0,0.1235,0.016,0.0129
NGC0255,764.0,552.0,0.0603,0.0164,0.0132,777.0,467.0,0.1207,0.0162,0.0131
NGC0289,1071.0,987.0,0.0292,0.0186,0.0149,1034.0,673.0,0.0656,0.017,0.0136
NGC0337,293.0,289.0,0.107,0.0093,0.0076,783.0,522.0,0.301,0.0126,0.0102
NGC0337A,275.0,283.0,0.0808,0.0129,0.0103,776.0,505.0,0.2025,0.0125,0.0102
NGC0450,777.0,547.0,0.1272,0.0126,0.0102,286.0,281.0,0.272,0.0138,0.0112
NGC0578,426.0,643.0,0.0386,0.0178,0.0141,920.0,883.0,0.1217,0.017,0.0136
NGC0600,277.0,285.0,0.086,0.013,0.0104,775.0,516.0,0.2461,0.0134,0.0109
NGC0613,719.0,736.0,0.043,0.0145,0.0116,1214.0,958.0,0.0728,0.0142,0.0114
NGC0685,277.0,449.0,0.0048,0.0154,0.0123,790.0,425.0,-0.0148,0.0135,0.0108
NGC0701,279.0,287.0,0.0873,0.0131,0.0105,775.0,527.0,0.2536,0.0136,0.0111
NGC0718,275.0,273.0,0.1116,0.0123,0.0099,777.0,485.0,0.27,0.0137,0.011
NGC0864,573.0,621.0,0.1257,0.0168,0.0133,1079.0,814.0,0.316,0.0184,0.0147
NGC0936,567.0,602.0,0.1137,0.018,0.0143,1070.0,804.0,0.217,0.018,0.0145
NGC0986,759.0,975.0,0.0158,0.0055,0.0045,522.0,482.0,0.016,0.0086,0.007
NGC0991,276.0,276.0,0.0593,0.0147,0.0117,772.0,493.0,0.069,0.0144,0.0115
NGC1015,272.0,271.0,0.1004,0.0141,0.0115,776.0,474.0,0.2319,0.0158,0.0134
NGC1022,274.0,273.0,0.0854,0.0142,0.0113,775.0,481.0,0.1866,0.0142,0.0113
NGC1036,783.0,443.0,0.1041,0.0164,0.0132,779.0,439.0,0.211,0.0166,0.0134
NGC1051,274.0,273.0,0.0644,0.0144,0.0115,774.0,480.0,0.0725,0.014,0.0112
NGC1073,548.0,437.0,0.0702,0.018,0.0145,1058.0,633.0,0.0916,0.0185,0.0149
NGC1087,271.0,270.0,0.0769,0.0148,0.0124,778.0,468.0,0.1022,0.0138,0.011
NGC1179,585.0,614.0,0.0685,0.0187,0.015,1076.0,845.0,0.1312,0.0182,0.0146
NGC1187,598.0,623.0,0.0405,0.0189,0.0151,1078.0,875.0,0.0429,0.0183,0.0147
NGC1232,719.0,732.0,0.0476,0.0165,0.0135,1206.0,968.0,0.0533,0.0157,0.0127
NGC1255,427.0,568.0,0.0353,0.0183,0.0147,909.0,814.0,0.0439,0.0173,0.0139
NGC1258,281.0,281.0,0.0266,0.0148,0.0118,766.0,524.0,0.1225,0.0146,0.0116
NGC1291,850.0,819.0,0.0323,0.0091,0.0073,1304.0,1116.0,0.0629,0.0126,0.0101
NGC1300,362.0,755.0,0.0806,0.0161,0.013,853.0,986.0,0.1347,0.0148,0.0119
NGC1302,598.0,624.0,0.0355,0.0188,0.015,1078.0,876.0,0.0481,0.0179,0.0142
NGC1310,292.0,300.0,0.0356,0.0128,0.0102,760.0,621.0,0.0948,0.0123,0.0099
NGC1313,432.0,812.0,0.0187,0.0089,0.0072,975.0,819.0,0.0174,0.0106,0.0086
NGC1326,605.0,628.0,0.0218,0.0189,0.015,1078.0,894.0,0.0633,0.0177,0.0141
NGC1326A,780.0,469.0,0.0054,0.0161,0.013,757.0,553.0,0.0538,0.0151,0.0122
NGC1338,270.0,269.0,0.105,0.0164,0.013,777.0,462.0,0.089,0.0142,0.0113
NGC1341,780.0,474.0,0.0084,0.0165,0.0135,756.0,557.0,0.0724,0.0158,0.0129
NGC1345,276.0,274.0,0.0648,0.0143,0.0114,774.0,490.0,0.0731,0.0135,0.0108
NGC1365,934.0,1111.0,0.022,0.0213,0.0172,738.0,601.0,0.0021,0.0301,0.0242
NGC1367,592.0,619.0,0.0427,0.0188,0.015,1077.0,860.0,0.0608,0.0178,0.0142
NGC1398,1335.0,1061.0,0.0393,0.0134,0.0108,1339.0,1134.0,0.0521,0.013,0.0104
NGC1452,270.0,268.0,0.1058,0.0155,0.0124,777.0,459.0,0.0798,0.0138,0.011
NGC1483,291.0,293.0,-0.0076,0.0154,0.0123,759.0,601.0,0.0224,0.0139,0.0111
